1:STD:ASSIGN:<NO-OP>:org.jfree.chart.util.RectangleInsets:37:1902273207559319996L |==> 0L
2:LVR:0:POS:org.jfree.chart.util.RectangleInsets:43:0.0 |==> 1.0
3:LVR:0:NEG:org.jfree.chart.util.RectangleInsets:43:0.0 |==> -1.0
4:LVR:0:POS:org.jfree.chart.util.RectangleInsets:43:0.0 |==> 1.0
5:LVR:0:NEG:org.jfree.chart.util.RectangleInsets:43:0.0 |==> -1.0
6:LVR:0:POS:org.jfree.chart.util.RectangleInsets:43:0.0 |==> 1.0
7:LVR:0:NEG:org.jfree.chart.util.RectangleInsets:43:0.0 |==> -1.0
8:LVR:0:POS:org.jfree.chart.util.RectangleInsets:43:0.0 |==> 1.0
9:LVR:0:NEG:org.jfree.chart.util.RectangleInsets:43:0.0 |==> -1.0
10:LVR:POS:0:org.jfree.chart.util.RectangleInsets@<init>:66:1.0 |==> 0.0
11:LVR:POS:NEG:org.jfree.chart.util.RectangleInsets@<init>:66:1.0 |==> -1.0
12:LVR:POS:0:org.jfree.chart.util.RectangleInsets@<init>:66:1.0 |==> 0.0
13:LVR:POS:NEG:org.jfree.chart.util.RectangleInsets@<init>:66:1.0 |==> -1.0
14:LVR:POS:0:org.jfree.chart.util.RectangleInsets@<init>:66:1.0 |==> 0.0
15:LVR:POS:NEG:org.jfree.chart.util.RectangleInsets@<init>:66:1.0 |==> -1.0
16:LVR:POS:0:org.jfree.chart.util.RectangleInsets@<init>:66:1.0 |==> 0.0
17:LVR:POS:NEG:org.jfree.chart.util.RectangleInsets@<init>:66:1.0 |==> -1.0
18:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.jfree.chart.util.RectangleInsets@<init>:94:unitType == null |==> false
19:LVR:<CLASS>:<NULL>:org.jfree.chart.util.RectangleInsets@<init>:95:"Null \'unitType\' argument." |==> null
20:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.util.RectangleInsets@<init>:97:this.unitType = unitType |==> <NO-OP>
21:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.util.RectangleInsets@<init>:98:this.top = top |==> <NO-OP>
22:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.util.RectangleInsets@<init>:99:this.bottom = bottom |==> <NO-OP>
23:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.util.RectangleInsets@<init>:100:this.left = left |==> <NO-OP>
24:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.util.RectangleInsets@<init>:101:this.right = right |==> <NO-OP>
25:STD:CALL:<NO-OP>:org.jfree.chart.util.RectangleInsets@getUnitType:111:this.unitType |==> null
26:STD:CALL:<NO-OP>:org.jfree.chart.util.RectangleInsets@getTop:120:this.top |==> 0.0
27:STD:CALL:<NO-OP>:org.jfree.chart.util.RectangleInsets@getBottom:129:this.bottom |==> 0.0
28:STD:CALL:<NO-OP>:org.jfree.chart.util.RectangleInsets@getLeft:138:this.left |==> 0.0
29:STD:CALL:<NO-OP>:org.jfree.chart.util.RectangleInsets@getRight:147:this.right |==> 0.0
30:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.jfree.chart.util.RectangleInsets@equals:158:obj == this |==> false
31:LVR:TRUE:FALSE:org.jfree.chart.util.RectangleInsets@equals:159:true |==> false
32:LVR:FALSE:TRUE:org.jfree.chart.util.RectangleInsets@equals:162:false |==> true
33:STD:ASSIGN:<NO-OP>:org.jfree.chart.util.RectangleInsets@equals:164:(RectangleInsets)obj |==> null
34:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):org.jfree.chart.util.RectangleInsets@equals:165:that.unitType != this.unitType |==> true
