1:STD:ASSIGN:<NO-OP>:org.jfree.chart.util.AbstractObjectList:59:7789833772597351595L |==> 0L
2:STD:ASSIGN:<NO-OP>:org.jfree.chart.util.AbstractObjectList:62:8 |==> 0
3:LVR:0:POS:org.jfree.chart.util.AbstractObjectList:68:0 |==> 1
4:LVR:0:NEG:org.jfree.chart.util.AbstractObjectList:68:0 |==> -1
5:STD:ASSIGN:<NO-OP>:org.jfree.chart.util.AbstractObjectList:71:DEFAULT_INITIAL_CAPACITY |==> 0
6:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.util.AbstractObjectList@<init>:96:this.objects = new Object[initialCapacity] |==> <NO-OP>
7:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.util.AbstractObjectList@<init>:97:this.increment = increment |==> <NO-OP>
8:LVR:0:POS:org.jfree.chart.util.AbstractObjectList@get:110:0 |==> 1
9:LVR:0:NEG:org.jfree.chart.util.AbstractObjectList@get:110:0 |==> -1
10:ROR:>=(int,int):==(int,int):org.jfree.chart.util.AbstractObjectList@get:110:index >= 0 |==> index == 0
11:ROR:>=(int,int):>(int,int):org.jfree.chart.util.AbstractObjectList@get:110:index >= 0 |==> index > 0
12:ROR:>=(int,int):TRUE(int,int):org.jfree.chart.util.AbstractObjectList@get:110:index >= 0 |==> true
13:ROR:<(int,int):!=(int,int):org.jfree.chart.util.AbstractObjectList@get:110:index < this.size |==> index != this.size
14:ROR:<(int,int):<=(int,int):org.jfree.chart.util.AbstractObjectList@get:110:index < this.size |==> index <= this.size
15:ROR:<(int,int):FALSE(int,int):org.jfree.chart.util.AbstractObjectList@get:110:index < this.size |==> false
16:COR:&&(boolean,boolean):==(boolean,boolean):org.jfree.chart.util.AbstractObjectList@get:110:index >= 0 && index < this.size |==> index >= 0 == index < this.size
17:COR:&&(boolean,boolean):FALSE(boolean,boolean):org.jfree.chart.util.AbstractObjectList@get:110:index >= 0 && index < this.size |==> false
18:COR:&&(boolean,boolean):LHS(boolean,boolean):org.jfree.chart.util.AbstractObjectList@get:110:index >= 0 && index < this.size |==> index >= 0
19:COR:&&(boolean,boolean):RHS(boolean,boolean):org.jfree.chart.util.AbstractObjectList@get:110:index >= 0 && index < this.size |==> index < this.size
20:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.util.AbstractObjectList@get:111:result = this.objects[index] |==> <NO-OP>
21:STD:CALL:<NO-OP>:org.jfree.chart.util.AbstractObjectList@get:113:result |==> null
22:LVR:0:POS:org.jfree.chart.util.AbstractObjectList@set:123:0 |==> 1
23:LVR:0:NEG:org.jfree.chart.util.AbstractObjectList@set:123:0 |==> -1
24:ROR:<(int,int):!=(int,int):org.jfree.chart.util.AbstractObjectList@set:123:index < 0 |==> index != 0
25:ROR:<(int,int):<=(int,int):org.jfree.chart.util.AbstractObjectList@set:123:index < 0 |==> index <= 0
26:ROR:<(int,int):FALSE(int,int):org.jfree.chart.util.AbstractObjectList@set:123:index < 0 |==> false
27:LVR:<CLASS>:<NULL>:org.jfree.chart.util.AbstractObjectList@set:124:"Requires index >= 0." |==> null
28:ROR:>=(int,int):==(int,int):org.jfree.chart.util.AbstractObjectList@set:126:index >= this.objects.length |==> index == this.objects.length
29:ROR:>=(int,int):>(int,int):org.jfree.chart.util.AbstractObjectList@set:126:index >= this.objects.length |==> index > this.objects.length
30:ROR:>=(int,int):TRUE(int,int):org.jfree.chart.util.AbstractObjectList@set:126:index >= this.objects.length |==> true
